"ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date"
4.8088231086731,907,906,0.998897464167585,"2016-04-02"
4.60472583770752,907,903,0.995589856670342,"2016-04-03"
4.61649131774902,907,901,0.993384785005513,"2016-04-04"
4.61606693267822,907,902,0.994487320837927,"2016-04-05"
4.60390567779541,907,904,0.996692392502756,"2016-04-06"
4.74123477935791,907,905,0.997794928335171,"2016-04-07"
4.53712892532349,907,902,0.994487320837927,"2016-04-08"
4.67368030548096,907,901,0.993384785005513,"2016-04-09"
4.87104368209839,907,901,0.993384785005513,"2016-04-10"
4.67807722091675,907,902,0.994487320837927,"2016-04-11"
4.69537544250488,907,907,1,"2016-04-12"
4.69574785232544,907,905,0.997794928335171,"2016-04-13"
4.69624614715576,907,903,0.995589856670342,"2016-04-14"
4.53374624252319,907,906,0.998897464167585,"2016-04-15"
4.69537544250488,907,907,1,"2016-04-16"
4.69551372528076,907,904,0.996692392502756,"2016-04-17"
5.01082420349121,907,906,0.998897464167585,"2016-04-18"
4.33664321899414,907,907,1,"2016-04-19"
4.45152187347412,907,905,0.997794928335171,"2016-04-20"
4.72828149795532,907,904,0.996692392502756,"2016-04-21"
4.60667848587036,907,906,0.998897464167585,"2016-04-22"
4.68570947647095,907,904,0.996692392502756,"2016-04-23"
4.69537544250488,907,907,1,"2016-04-24"
4.26483821868896,907,906,0.998897464167585,"2016-04-25"
4.69537544250488,907,907,1,"2016-04-26"
4.70249795913696,907,901,0.993384785005513,"2016-04-27"
4.69648027420044,907,904,0.996692392502756,"2016-04-28"
4.69655179977417,907,903,0.995589856670342,"2016-04-29"
4.270583152771,907,905,0.997794928335171,"2016-04-30"
4.65491008758545,907,904,0.996692392502756,"2016-05-01"
4.90795040130615,907,903,0.995589856670342,"2016-05-02"
4.71078968048096,907,907,1,"2016-05-03"
4.71078968048096,907,907,1,"2016-05-04"
4.13019752502441,907,907,1,"2016-05-05"
4.46388816833496,907,904,0.996692392502756,"2016-05-06"
4.86879253387451,907,903,0.995589856670342,"2016-05-07"
3.40357685089111,907,904,0.996692392502756,"2016-05-08"
NA,907,0,0,"2016-05-09"
4.33439970016479,907,902,0.994487320837927,"2016-05-10"
4.20244264602661,907,905,0.997794928335171,"2016-05-11"
4.46168661117554,907,905,0.997794928335171,"2016-05-12"
4.99150705337524,907,903,0.995589856670342,"2016-05-13"
NA,907,0,0,"2016-05-14"
NA,907,0,0,"2016-05-15"
NA,907,0,0,"2016-05-16"
3.60058879852295,907,907,1,"2016-05-17"
3.72031497955322,907,903,0.995589856670342,"2016-05-18"
4.55020093917847,907,901,0.993384785005513,"2016-05-19"
NA,907,0,0,"2016-05-20"
NA,907,0,0,"2016-05-21"
NA,907,0,0,"2016-05-22"
4.54313611984253,907,907,1,"2016-05-23"
4.04582595825195,907,900,0.992282249173098,"2016-05-24"
NA,907,0,0,"2016-05-25"
NA,907,0,0,"2016-05-26"
NA,907,0,0,"2016-05-27"
NA,907,0,0,"2016-05-28"
NA,907,0,0,"2016-05-29"
NA,907,0,0,"2016-05-30"
NA,907,0,0,"2016-05-31"
NA,907,0,0,"2016-06-01"
NA,907,0,0,"2016-06-02"
NA,907,0,0,"2016-06-03"
NA,907,0,0,"2016-06-04"
NA,907,0,0,"2016-06-05"
NA,907,0,0,"2016-06-06"
NA,907,0,0,"2016-06-07"
NA,907,0,0,"2016-06-08"
NA,907,0,0,"2016-06-09"
NA,907,0,0,"2016-06-10"
NA,907,0,0,"2016-06-11"
NA,907,0,0,"2016-06-12"
NA,907,0,0,"2016-06-13"
NA,907,0,0,"2016-06-14"
NA,907,0,0,"2016-06-15"
NA,907,0,0,"2016-06-16"
NA,907,0,0,"2016-06-17"
NA,907,0,0,"2016-06-18"
NA,907,0,0,"2016-06-19"
NA,907,0,0,"2016-06-20"
NA,907,0,0,"2016-06-21"
NA,907,0,0,"2016-06-22"
NA,907,0,0,"2016-06-23"
NA,907,0,0,"2016-06-24"
NA,907,0,0,"2016-06-25"
NA,907,0,0,"2016-06-26"
NA,907,0,0,"2016-06-27"
NA,907,0,0,"2016-06-28"
NA,907,0,0,"2016-06-29"
NA,907,0,0,"2016-06-30"
NA,907,0,0,"2016-07-01"
NA,907,0,0,"2016-07-02"
NA,907,0,0,"2016-07-03"
NA,907,0,0,"2016-07-04"
NA,907,0,0,"2016-07-05"
NA,907,0,0,"2016-07-06"
NA,907,0,0,"2016-07-07"
