name,date,total_ntl,total_pixels,weighted_ntl_mean,prev_weighted_ntl_mean,pct_change
Dunbar-Southlands,11月 2015,167.9338175058366,95,1.76772439479828,1.5338823795318601,15.245107342440965
Dunbar-Southlands,1月 2016,185.24781882762886,95,1.94997704029083,1.76772439479828,10.310014730172208
Dunbar-Southlands,3月 2016,167.0851308107373,95,1.75879085063934,1.94997704029083,-9.80453542278506
Dunbar-Southlands,5月 2016,166.8897879123686,95,1.75673460960388,1.75879085063934,-0.11691219764489934
Dunbar-Southlands,7月 2016,152.79827058315246,95,1.60840284824371,1.75673460960388,-8.443606709246586
Dunbar-Southlands,9月 2016,145.83420395851098,95,1.5350968837737997,1.60840284824371,-4.5576868102388985
Dunbar-Southlands,11月 2016,145.68686723709126,95,1.53354597091675,1.5350968837737997,-0.10103029153684347
Dunbar-Southlands,1月 2017,239.03764724731474,95,2.51618576049805,1.53354597091675,64.07631777701977
Dunbar-Southlands,3月 2017,195.19904971122725,95,2.05472683906555,2.51618576049805,-18.33962057480047
Dunbar-Southlands,5月 2017,170.71841359138455,95,1.79703593254089,2.05472683906555,-12.54137054256092
Dunbar-Southlands,7月 2017,211.01673960685739,95,2.22122883796692,1.79703593254089,23.6051432108121
Dunbar-Southlands,9月 2017,147.9893064498903,95,1.55778217315674,2.22122883796692,-29.868451798844344
Dunbar-Southlands,11月 2017,153.24982762336714,95,1.61315608024597,1.55778217315674,3.554663035912035
Dunbar-Southlands,1月 2018,186.79121911525715,95,1.96622335910797,1.61315608024597,21.886740110613808
Dunbar-Southlands,3月 2018,194.61076736450224,95,2.04853439331055,1.96622335910797,4.186250449182056
Dunbar-Southlands,5月 2018,198.02825450897245,95,2.08450794219971,2.04853439331055,1.7560627249721115
Dunbar-Southlands,7月 2018,193.96760463714608,95,2.04176425933838,2.08450794219971,-2.050540657390079
Dunbar-Southlands,9月 2018,152.6729720830914,95,1.60708391666412,2.04176425933838,-21.289448117537088
Dunbar-Southlands,11月 2018,161.8439298868176,95,1.70362031459808,1.60708391666412,6.0069295033668135
Dunbar-Southlands,1月 2019,145.93133747577662,95,1.53611934185028,1.70362031459808,-9.83206007304021
Dunbar-Southlands,3月 2019,198.14673542976405,95,2.08575510978699,1.53611934185028,35.7807985982824
Dunbar-Southlands,5月 2019,188.9047932624814,95,1.9884715080261202,2.08575510978699,-4.664190983130565
Dunbar-Southlands,7月 2019,197.50875949859585,95,2.07903957366943,1.9884715080261202,4.554657448082489
Dunbar-Southlands,9月 2019,177.7816295623779,95,1.87138557434082,2.07903957366943,-9.987977235185962
Dunbar-Southlands,11月 2019,173.92436325550034,95,1.8307827711105298,1.87138557434082,-2.1696652890248074
Dunbar-Southlands,1月 2020,178.93042469024675,68,2.63132977485657,1.8307827711105298,43.72703394299688
Dunbar-Southlands,3月 2020,202.44584202766447,95,2.1310088634491,2.63132977485657,-19.01399498414227
Dunbar-Southlands,5月 2020,183.0224567651744,95,1.92655217647552,2.1310088634491,-9.594361172325707
Dunbar-Southlands,7月 2020,175.4919421672817,95,1.84728360176086,1.92655217647552,-4.114530386593307
Dunbar-Southlands,9月 2020,168.91340851783735,95,1.77803587913513,1.84728360176086,-3.748624334656679
Dunbar-Southlands,11月 2020,162.0468378067012,95,1.70575618743896,1.77803587913513,-4.065142472340226
Dunbar-Southlands,1月 2021,130.83769261836974,95,1.37723886966705,1.70575618743896,-19.259336134383272
Dunbar-Southlands,3月 2021,191.06660008430464,95,2.01122736930847,1.37723886966705,46.033299931092415
Dunbar-Southlands,5月 2021,197.16242194175703,95,2.07539391517639,2.01122736930847,3.1904172967764763
Dunbar-Southlands,7月 2021,172.85983562469474,95,1.81957721710205,2.07539391517639,-12.32617558544773
Dunbar-Southlands,9月 2021,167.4475610256198,95,1.7626059055328398,1.81957721710205,-3.1310191748798366
Dunbar-Southlands,11月 2021,147.89822041988361,95,1.5568233728408802,1.7626059055328398,-11.674903167293714
Dunbar-Southlands,1月 2022,145.20087122917215,95,1.52843022346497,1.5568233728408802,-1.823787455355233
Dunbar-Southlands,3月 2022,213.16285014152527,95,2.24381947517395,1.52843022346497,46.805489758451905
Dunbar-Southlands,5月 2022,203.16440582275357,95,2.13857269287109,2.24381947517395,-4.690519155722224
Dunbar-Southlands,7月 2022,187.7182966470721,95,1.97598206996918,2.13857269287109,-7.602763443295823
