"name","population","population_density","ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date","pct_change"
59150590,545,5601.2,3.27209758758545,4,4,1,"2012-01",NA
59150591,625,5487.3,3.15344214439392,4,4,1,"2012-01",NA
59150592,617,6283.1,3.46244955062866,4,4,1,"2012-01",NA
59150593,547,6519.7,3.18948197364807,4,4,1,"2012-01",NA
59150594,452,6776.6,3.19897961616516,3,3,1,"2012-01",NA
59150595,666,7551,3.15000033378601,4,4,1,"2012-01",NA
59150596,476,6898.6,3.13276886940002,4,4,1,"2012-01",NA
59150597,731,8849.9,3.03570580482483,4,4,1,"2012-01",NA
59150598,594,7217.5,3.0514018535614,2,2,1,"2012-01",NA
59150599,624,16124,3.08069849014282,4,4,1,"2012-01",NA
59150600,504,4476,3.24760580062866,4,4,1,"2012-01",NA
59150601,730,10082.9,3.07429170608521,2,2,1,"2012-01",NA
59150602,415,7230,3.11519026756287,4,4,1,"2012-01",NA
59150603,424,6962.2,2.4787323474884,4,4,1,"2012-01",NA
59150604,630,10880.8,2.91999983787537,2,2,1,"2012-01",NA
59150605,470,6901.6,2.95968890190125,3,3,1,"2012-01",NA
59150606,714,9026.5,2.97616696357727,4,4,1,"2012-01",NA
59150607,819,9403,2.73917174339294,3,3,1,"2012-01",NA
59150608,620,7077.6,3.97561836242676,5,5,1,"2012-01",NA
59150609,514,6692.7,4.15643835067749,4,4,1,"2012-01",NA
59150610,675,12688,3.52093815803528,4,4,1,"2012-01",NA
59150611,682,8868.7,4.28000020980835,2,2,1,"2012-01",NA
59150612,562,7168.4,3.59045481681824,3,3,1,"2012-01",NA
59150613,653,10171.3,4.42883014678955,2,2,1,"2012-01",NA
59150614,639,9726,3.95599389076233,4,4,1,"2012-01",NA
59150615,489,7628.7,4.75,2,2,1,"2012-01",NA
59150616,599,12249.5,4.75,4,4,1,"2012-01",NA
59150617,521,16281.3,4.75,1,1,1,"2012-01",NA
59150618,657,13744.8,5.29369354248047,4,4,1,"2012-01",NA
59150619,591,11150.9,5.07790851593018,3,3,1,"2012-01",NA
59150620,541,8123.1,6.00232887268066,2,2,1,"2012-01",NA
59150621,468,9397.6,3.89012145996094,2,2,1,"2012-01",NA
59150622,472,13760.9,3.77360391616821,2,2,1,"2012-01",NA
59150623,488,14227.4,3.12999987602234,1,1,1,"2012-01",NA
59150624,551,16301.8,3.43651843070984,2,2,1,"2012-01",NA
59150625,594,17891.6,3.14604640007019,4,4,1,"2012-01",NA
59150626,564,16300.6,6.85030508041382,4,4,1,"2012-01",NA
59150627,521,5626.3,7.20258140563965,5,5,1,"2012-01",NA
59150628,680,10164.4,7.41000032424927,2,2,1,"2012-01",NA
59150629,531,10270.8,6.74180316925049,2,2,1,"2012-01",NA
59150630,1216,4287.7,7.9048056602478,8,8,1,"2012-01",NA
59150631,1140,23553.7,7.08424377441406,3,3,1,"2012-01",NA
59150632,1270,8289.8,8.73761940002441,3,3,1,"2012-01",NA
59150633,705,13031.4,7.03861713409424,3,3,1,"2012-01",NA
59150634,518,14757.8,7.85637760162354,4,4,1,"2012-01",NA
59150635,571,15730,6.5246114730835,2,2,1,"2012-01",NA
59150636,723,20195.5,7.68680095672607,2,2,1,"2012-01",NA
59150637,483,5482.4,5.7373514175415,6,6,1,"2012-01",NA
59150638,660,11849.2,8.68796348571777,2,2,1,"2012-01",NA
59150639,510,18681.3,7.74522972106934,4,4,1,"2012-01",NA
59150640,449,11909.8,11.9550743103027,2,2,1,"2012-01",NA
59150641,685,19241.6,10.3457565307617,2,2,1,"2012-01",NA
59150642,645,17338.7,10.055793762207,2,2,1,"2012-01",NA
59150643,614,17492.9,7.19297647476196,4,4,1,"2012-01",NA
59150644,628,17300.3,7.04999971389771,2,2,1,"2012-01",NA
59150645,484,6845.8,4.42155838012695,5,5,1,"2012-01",NA
59150646,586,15967.3,7.05000019073486,1,1,1,"2012-01",NA
59150647,571,15861.1,5.94437742233276,4,4,1,"2012-01",NA
59150648,429,22228,7.04999971389771,2,2,1,"2012-01",NA
59150649,672,3599.4,6.50411891937256,6,6,1,"2012-01",NA
59150650,468,13604.7,5.72407627105713,2,2,1,"2012-01",NA
59150651,392,13564,6.09137153625488,4,4,1,"2012-01",NA
59150652,718,17772.3,3.50404524803162,3,3,1,"2012-01",NA
59150653,475,10626.4,3.74175834655762,2,2,1,"2012-01",NA
59150654,615,10477,3.28357720375061,2,2,1,"2012-01",NA
59150655,496,8038.9,3.49380803108215,4,4,1,"2012-01",NA
59150656,439,5557,3.62000012397766,3,3,1,"2012-01",NA
59150657,496,1137.1,4.13201236724854,8,8,1,"2012-01",NA
59150658,683,5455.3,3.20610308647156,4,4,1,"2012-01",NA
59150659,591,2933,3.10065937042236,4,4,1,"2012-01",NA
59150660,476,1787.5,3.35343742370605,6,6,1,"2012-01",NA
59150661,538,1777.3,2.48401856422424,8,8,1,"2012-01",NA
59150662,429,1522.9,3.47515845298767,7,7,1,"2012-01",NA
59150663,446,1606,2.27328634262085,4,4,1,"2012-01",NA
59150664,493,1781.1,3.35331726074219,8,8,1,"2012-01",NA
59150665,475,2792.5,2.29999995231628,4,4,1,"2012-01",NA
59150666,423,1468.8,3.03240466117859,6,6,1,"2012-01",NA
59150667,462,2033.5,3.93401551246643,5,5,1,"2012-01",NA
59150668,491,1264.8,2.56193327903748,8,8,1,"2012-01",NA
59150669,572,6574.7,4.55879306793213,4,4,1,"2012-01",NA
59150670,523,2770.1,2.90571761131287,6,6,1,"2012-01",NA
59150671,572,1389,3.11114978790283,9,9,1,"2012-01",NA
59150672,651,3802.6,2.98819494247437,5,5,1,"2012-01",NA
59150673,444,3072.7,2.92379140853882,5,5,1,"2012-01",NA
59150674,488,4341.6,2.98186254501343,4,4,1,"2012-01",NA
59150675,667,7297.6,2.91621589660645,4,4,1,"2012-01",NA
59150676,546,6715.9,2.76446986198425,2,2,1,"2012-01",NA
59150677,523,5850.1,2.83933997154236,4,4,1,"2012-01",NA
59150678,594,7139.4,3.61177086830139,4,4,1,"2012-01",NA
59150679,414,6468.8,5.55364608764648,2,2,1,"2012-01",NA
59150680,665,5569.5,3.93206238746643,6,6,1,"2012-01",NA
59150681,445,7295.1,3.12599921226501,3,3,1,"2012-01",NA
59150682,738,7270.9,3.0811493396759,5,5,1,"2012-01",NA
59150683,571,6240.4,2.91945004463196,3,3,1,"2012-01",NA
59150684,764,8076.1,3.25976538658142,4,4,1,"2012-01",NA
59150685,947,8585.7,3.40667033195496,4,4,1,"2012-01",NA
59150686,327,7155.4,3.53928589820862,4,4,1,"2012-01",NA
