"geo_local_area","year","month","crime_count","date","prev_crime_count","pct_change"
"Dunbar-Southlands",2020,9,34,9月 2020,36,-5.55555555555556
"Dunbar-Southlands",2020,11,22,11月 2020,34,-35.2941176470588
"Dunbar-Southlands",2021,1,36,1月 2021,22,63.6363636363636
"Dunbar-Southlands",2021,3,15,3月 2021,36,-58.3333333333333
"Dunbar-Southlands",2021,5,13,5月 2021,15,-13.3333333333333
"Dunbar-Southlands",2021,7,23,7月 2021,13,76.9230769230769
"Dunbar-Southlands",2021,9,16,9月 2021,23,-30.4347826086957
"Dunbar-Southlands",2021,11,14,11月 2021,16,-12.5
"Dunbar-Southlands",2022,1,18,1月 2022,14,28.5714285714286
"Dunbar-Southlands",2022,3,8,3月 2022,18,-55.5555555555556
"Dunbar-Southlands",2022,5,14,5月 2022,8,75
"Dunbar-Southlands",2022,7,21,7月 2022,14,50
"Dunbar-Southlands",2022,9,15,9月 2022,21,-28.5714285714286
"Dunbar-Southlands",2022,11,22,11月 2022,15,46.6666666666667
"Dunbar-Southlands",2023,1,14,1月 2023,22,-36.3636363636364
"Dunbar-Southlands",2023,3,13,3月 2023,14,-7.14285714285714
"Dunbar-Southlands",2023,5,19,5月 2023,13,46.1538461538462
"Dunbar-Southlands",2023,7,19,7月 2023,19,0
"Dunbar-Southlands",2023,9,17,9月 2023,19,-10.5263157894737
"Dunbar-Southlands",2023,11,20,11月 2023,17,17.6470588235294
"Dunbar-Southlands",2024,1,10,1月 2024,20,-50
"Dunbar-Southlands",2024,3,23,3月 2024,10,130
"Dunbar-Southlands",2024,5,11,5月 2024,23,-52.1739130434783
"Dunbar-Southlands",2024,7,13,7月 2024,11,18.1818181818182
"Dunbar-Southlands",2024,9,21,9月 2024,13,61.5384615384615
"Dunbar-Southlands",2024,11,19,11月 2024,21,-9.52380952380952
"Dunbar-Southlands",2025,1,13,1月 2025,19,-31.5789473684211
"Dunbar-Southlands",2025,3,4,3月 2025,13,-69.2307692307692
"Fairview",2003,1,201,1月 2003,NA,NA
"Fairview",2003,3,204,3月 2003,201,1.49253731343284
"Fairview",2003,5,213,5月 2003,204,4.41176470588235
"Fairview",2003,7,204,7月 2003,213,-4.22535211267606
"Fairview",2003,9,193,9月 2003,204,-5.3921568627451
"Fairview",2003,11,211,11月 2003,193,9.32642487046632
"Fairview",2004,1,209,1月 2004,211,-0.947867298578199
"Fairview",2004,3,175,3月 2004,209,-16.2679425837321
"Fairview",2004,5,142,5月 2004,175,-18.8571428571429
"Fairview",2004,7,189,7月 2004,142,33.0985915492958
"Fairview",2004,9,229,9月 2004,189,21.1640211640212
"Fairview",2004,11,216,11月 2004,229,-5.67685589519651
"Fairview",2005,1,198,1月 2005,216,-8.33333333333333
"Fairview",2005,3,184,3月 2005,198,-7.07070707070707
"Fairview",2005,5,184,5月 2005,184,0
"Fairview",2005,7,138,7月 2005,184,-25
"Fairview",2005,9,157,9月 2005,138,13.768115942029
"Fairview",2005,11,143,11月 2005,157,-8.9171974522293
"Fairview",2006,1,193,1月 2006,143,34.965034965035
"Fairview",2006,3,209,3月 2006,193,8.29015544041451
"Fairview",2006,5,101,5月 2006,209,-51.6746411483254
"Fairview",2006,7,134,7月 2006,101,32.6732673267327
"Fairview",2006,9,121,9月 2006,134,-9.70149253731343
"Fairview",2006,11,144,11月 2006,121,19.0082644628099
"Fairview",2007,1,224,1月 2007,144,55.5555555555556
"Fairview",2007,3,92,3月 2007,224,-58.9285714285714
"Fairview",2007,5,91,5月 2007,92,-1.08695652173913
"Fairview",2007,7,125,7月 2007,91,37.3626373626374
"Fairview",2007,9,140,9月 2007,125,12
"Fairview",2007,11,123,11月 2007,140,-12.1428571428571
"Fairview",2008,1,118,1月 2008,123,-4.0650406504065
"Fairview",2008,3,156,3月 2008,118,32.2033898305085
"Fairview",2008,5,76,5月 2008,156,-51.2820512820513
"Fairview",2008,7,80,7月 2008,76,5.26315789473684
